
   ising   psi         q          di      re alpha   im alpha

     1  7.971E-01  2.000E+00 -2.667E-01  5.165E-01 -0.000E+00


   is    psifac      dpsi        q       singfac     eval1

  211  3.422E-01  4.588E-03  1.191E+00  8.091E-01  3.601E+01
  212  3.467E-01  4.588E-03  1.194E+00  8.060E-01  3.641E+01
  213  3.513E-01  4.588E-03  1.197E+00  8.027E-01  3.681E+01
  214  3.559E-01  4.588E-03  1.201E+00  7.994E-01  3.721E+01
  215  3.605E-01  4.588E-03  1.204E+00  7.961E-01  3.760E+01

   is    psifac      dpsi        q       singfac     eval1

 Gaussian Reduction at istep =    216, psi = 3.651E-01, q =  1.204

   is    psifac      dpsi        q       singfac     eval1

  216  3.651E-01  4.588E-03  1.207E+00  7.927E-01  3.799E+01
  217  3.651E-01  1.000E-05  1.207E+00  7.927E-01  3.799E+01
  218  3.651E-01  1.000E-05  1.207E+00  7.927E-01  3.799E+01
  219  3.661E-01  9.415E-04  1.208E+00  7.920E-01  3.807E+01
  220  3.670E-01  9.415E-04  1.209E+00  7.913E-01  3.815E+01
  221  3.679E-01  9.415E-04  1.209E+00  7.906E-01  3.822E+01
  222  3.711E-01  3.195E-03  1.212E+00  7.882E-01  3.849E+01
  223  3.743E-01  3.195E-03  1.214E+00  7.858E-01  3.876E+01
  224  3.775E-01  3.195E-03  1.217E+00  7.833E-01  3.902E+01
  225  3.807E-01  3.195E-03  1.219E+00  7.809E-01  3.928E+01
  226  3.844E-01  3.706E-03  1.222E+00  7.779E-01  3.958E+01
  227  3.881E-01  3.706E-03  1.225E+00  7.750E-01  3.989E+01
  228  3.918E-01  3.706E-03  1.228E+00  7.720E-01  4.018E+01
  229  3.955E-01  3.706E-03  1.231E+00  7.690E-01  4.048E+01
  230  3.993E-01  3.706E-03  1.234E+00  7.659E-01  4.077E+01
  231  4.051E-01  5.854E-03  1.239E+00  7.611E-01  4.123E+01
  232  4.110E-01  5.854E-03  1.244E+00  7.561E-01  4.169E+01
  233  4.168E-01  5.854E-03  1.249E+00  7.510E-01  4.214E+01
  234  4.227E-01  5.854E-03  1.254E+00  7.458E-01  4.258E+01
  235  4.285E-01  5.854E-03  1.260E+00  7.405E-01  4.302E+01
  236  4.356E-01  7.069E-03  1.266E+00  7.339E-01  4.354E+01
  237  4.427E-01  7.069E-03  1.273E+00  7.273E-01  4.405E+01
  238  4.497E-01  7.069E-03  1.280E+00  7.204E-01  4.455E+01
  239  4.568E-01  7.069E-03  1.287E+00  7.134E-01  4.505E+01
  240  4.639E-01  7.069E-03  1.294E+00  7.062E-01  4.554E+01
  241  4.709E-01  7.069E-03  1.301E+00  6.989E-01  4.601E+01
  242  4.803E-01  9.366E-03  1.311E+00  6.888E-01  4.663E+01
  243  4.897E-01  9.366E-03  1.321E+00  6.785E-01  4.724E+01
  244  4.990E-01  9.366E-03  1.332E+00  6.678E-01  4.783E+01
  245  5.084E-01  9.366E-03  1.343E+00  6.568E-01  4.840E+01
  246  5.178E-01  9.366E-03  1.355E+00  6.454E-01  4.895E+01
  247  5.271E-01  9.366E-03  1.366E+00  6.336E-01  4.949E+01
  248  5.365E-01  9.366E-03  1.379E+00  6.214E-01  5.001E+01
  249  5.459E-01  9.366E-03  1.391E+00  6.087E-01  5.051E+01
  250  5.552E-01  9.366E-03  1.404E+00  5.957E-01  5.100E+01
  251  5.646E-01  9.366E-03  1.418E+00  5.822E-01  5.146E+01
  252  5.740E-01  9.366E-03  1.432E+00  5.682E-01  5.191E+01
  253  5.833E-01  9.366E-03  1.446E+00  5.537E-01  5.234E+01
  254  5.927E-01  9.366E-03  1.461E+00  5.387E-01  5.275E+01
  255  6.021E-01  9.366E-03  1.477E+00  5.231E-01  5.314E+01
  256  6.114E-01  9.366E-03  1.493E+00  5.069E-01  5.351E+01
  257  6.208E-01  9.366E-03  1.510E+00  4.902E-01  5.386E+01
  258  6.302E-01  9.366E-03  1.527E+00  4.728E-01  5.420E+01

   is    psifac      dpsi        q       singfac     eval1

 Gaussian Reduction at istep =    259, psi = 6.395E-01, q =  1.527

   is    psifac      dpsi        q       singfac     eval1

  259  6.395E-01  9.366E-03  1.545E+00  4.547E-01  5.451E+01
  260  6.395E-01  1.000E-05  1.545E+00  4.547E-01  5.451E+01
  261  6.395E-01  1.000E-05  1.545E+00  4.547E-01  5.451E+01
  262  6.406E-01  1.045E-03  1.547E+00  4.526E-01  5.454E+01
  263  6.416E-01  1.045E-03  1.549E+00  4.505E-01  5.457E+01
  264  6.427E-01  1.045E-03  1.552E+00  4.485E-01  5.461E+01
  265  6.463E-01  3.658E-03  1.559E+00  4.411E-01  5.472E+01
  266  6.500E-01  3.658E-03  1.566E+00  4.337E-01  5.483E+01
  267  6.537E-01  3.658E-03  1.574E+00  4.261E-01  5.493E+01
  268  6.573E-01  3.658E-03  1.582E+00  4.184E-01  5.504E+01
  269  6.610E-01  3.658E-03  1.589E+00  4.106E-01  5.514E+01
  270  6.646E-01  3.658E-03  1.597E+00  4.027E-01  5.523E+01
  271  6.683E-01  3.658E-03  1.605E+00  3.946E-01  5.533E+01
  272  6.729E-01  4.652E-03  1.616E+00  3.842E-01  5.544E+01
  273  6.776E-01  4.652E-03  1.626E+00  3.735E-01  5.555E+01
  274  6.822E-01  4.652E-03  1.637E+00  3.627E-01  5.565E+01
  275  6.869E-01  4.652E-03  1.648E+00  3.516E-01  5.575E+01
  276  6.915E-01  4.652E-03  1.660E+00  3.402E-01  5.584E+01
  277  6.975E-01  5.995E-03  1.675E+00  3.253E-01  5.595E+01
  278  7.035E-01  5.995E-03  1.690E+00  3.099E-01  5.605E+01
  279  7.095E-01  5.995E-03  1.706E+00  2.941E-01  5.614E+01
  280  7.155E-01  5.995E-03  1.722E+00  2.779E-01  5.622E+01
  281  7.215E-01  5.995E-03  1.739E+00  2.612E-01  5.629E+01
  282  7.275E-01  5.995E-03  1.756E+00  2.440E-01  5.635E+01
  283  7.341E-01  6.614E-03  1.776E+00  2.244E-01  5.641E+01
  284  7.407E-01  6.614E-03  1.796E+00  2.042E-01  5.645E+01
  285  7.474E-01  6.614E-03  1.817E+00  1.832E-01  5.648E+01
  286  7.540E-01  6.614E-03  1.838E+00  1.616E-01  5.650E+01
  287  7.594E-01  5.398E-03  1.857E+00  1.434E-01  5.651E+01
  288  7.648E-01  5.398E-03  1.875E+00  1.247E-01  5.650E+01
  289  7.656E-01  8.158E-04  1.878E+00  1.218E-01  5.650E+01
  290  7.664E-01  8.158E-04  1.881E+00  1.189E-01  5.650E+01
  291  7.672E-01  8.158E-04  1.884E+00  1.160E-01  5.650E+01
  292  7.680E-01  8.158E-04  1.887E+00  1.131E-01  5.650E+01
  293  7.688E-01  8.158E-04  1.890E+00  1.102E-01  5.649E+01
  294  7.697E-01  8.158E-04  1.893E+00  1.072E-01  5.649E+01
  295  7.713E-01  1.632E-03  1.899E+00  1.013E-01  5.649E+01
  296  7.729E-01  1.632E-03  1.905E+00  9.531E-02  5.648E+01
  297  7.746E-01  1.632E-03  1.911E+00  8.928E-02  5.647E+01
  298  7.762E-01  1.632E-03  1.917E+00  8.320E-02  5.647E+01
  299  7.778E-01  1.632E-03  1.923E+00  7.706E-02  5.646E+01
  300  7.797E-01  1.883E-03  1.930E+00  6.990E-02  5.645E+01
  301  7.816E-01  1.883E-03  1.937E+00  6.267E-02  5.644E+01
  302  7.835E-01  1.883E-03  1.945E+00  5.536E-02  5.642E+01
  303  7.849E-01  1.477E-03  1.950E+00  4.957E-02  5.641E+01
  304  7.864E-01  1.477E-03  1.956E+00  4.373E-02  5.640E+01
  305  7.876E-01  1.131E-03  1.961E+00  3.923E-02  5.639E+01
  306  7.887E-01  1.131E-03  1.965E+00  3.470E-02  5.638E+01
  307  7.896E-01  8.836E-04  1.969E+00  3.114E-02  5.638E+01
  308  7.905E-01  8.836E-04  1.972E+00  2.756E-02  5.637E+01
  309  7.912E-01  7.178E-04  1.975E+00  2.464E-02  5.636E+01
  310  7.919E-01  7.178E-04  1.978E+00  2.171E-02  5.636E+01
  311  7.925E-01  5.629E-04  1.981E+00  1.940E-02  5.635E+01
  312  7.930E-01  5.629E-04  1.983E+00  1.708E-02  5.634E+01
  313  7.935E-01  4.384E-04  1.985E+00  1.528E-02  5.634E+01
  314  7.939E-01  4.384E-04  1.987E+00  1.346E-02  5.634E+01
  315  7.942E-01  3.430E-04  1.988E+00  1.204E-02  5.633E+01
  316  7.946E-01  3.430E-04  1.989E+00  1.062E-02  5.633E+01
  317  7.948E-01  2.676E-04  1.990E+00  9.503E-03  5.633E+01
  318  7.950E-01  1.789E-04  1.991E+00  8.757E-03  5.632E+01
  319  7.952E-01  1.388E-04  1.992E+00  8.179E-03  5.632E+01
  320  7.953E-01  1.388E-04  1.992E+00  7.599E-03  5.632E+01
  321  7.954E-01  1.075E-04  1.993E+00  7.150E-03  5.632E+01
  322  7.955E-01  1.075E-04  1.993E+00  6.701E-03  5.632E+01
  323  7.955E-01  1.910E-05  1.993E+00  6.621E-03  5.632E+01
  324  7.956E-01  1.910E-05  1.993E+00  6.541E-03  5.632E+01
  325  7.956E-01  1.910E-05  1.994E+00  6.461E-03  5.632E+01
  326  7.956E-01  1.910E-05  1.994E+00  6.381E-03  5.632E+01
  327  7.956E-01  1.910E-05  1.994E+00  6.301E-03  5.632E+01
  328  7.957E-01  3.820E-05  1.994E+00  6.142E-03  5.632E+01
  329  7.957E-01  3.820E-05  1.994E+00  5.982E-03  5.632E+01
  330  7.957E-01  3.820E-05  1.994E+00  5.822E-03  5.632E+01
  331  7.958E-01  3.820E-05  1.994E+00  5.662E-03  5.632E+01
  332  7.958E-01  3.820E-05  1.994E+00  5.502E-03  5.632E+01
