
   ising   psi         q          di      re alpha   im alpha

     1  7.971E-01  2.000E+00 -2.667E-01  5.165E-01 -0.000E+00


   is    psifac      dpsi        q       singfac     eval1

  705  9.353E-01  1.575E-05  3.003E+00  9.968E-01  5.109E+01
  706  9.353E-01  2.460E-05  3.004E+00  9.964E-01  5.108E+01
  707  9.353E-01  2.460E-05  3.004E+00  9.961E-01  5.108E+01
  708  9.353E-01  2.460E-05  3.004E+00  9.958E-01  5.108E+01
  709  9.353E-01  2.460E-05  3.005E+00  9.955E-01  5.108E+01
  710  9.354E-01  2.460E-05  3.005E+00  9.952E-01  5.108E+01
  711  9.354E-01  3.947E-05  3.005E+00  9.947E-01  5.107E+01
  712  9.355E-01  3.947E-05  3.006E+00  9.942E-01  5.107E+01
  713  9.355E-01  3.947E-05  3.006E+00  9.937E-01  5.107E+01
  714  9.355E-01  3.947E-05  3.007E+00  9.931E-01  5.107E+01
  715  9.356E-01  3.947E-05  3.007E+00  9.926E-01  5.106E+01
  716  9.356E-01  6.529E-05  3.008E+00  9.918E-01  5.106E+01
  717  9.357E-01  6.529E-05  3.009E+00  9.910E-01  5.105E+01
  718  9.358E-01  6.529E-05  3.010E+00  9.901E-01  5.105E+01
  719  9.358E-01  6.529E-05  3.011E+00  9.893E-01  5.104E+01
  720  9.359E-01  6.529E-05  3.012E+00  9.884E-01  5.104E+01
  721  9.361E-01  1.767E-04  3.014E+00  9.861E-01  5.103E+01
  722  9.363E-01  1.767E-04  3.016E+00  9.838E-01  5.101E+01
  723  9.364E-01  1.767E-04  3.018E+00  9.815E-01  5.100E+01
  724  9.366E-01  1.767E-04  3.021E+00  9.792E-01  5.099E+01
  725  9.368E-01  1.767E-04  3.023E+00  9.769E-01  5.098E+01
  726  9.372E-01  3.844E-04  3.028E+00  9.719E-01  5.095E+01
  727  9.376E-01  3.844E-04  3.033E+00  9.668E-01  5.092E+01
  728  9.379E-01  3.844E-04  3.038E+00  9.617E-01  5.089E+01
  729  9.383E-01  3.844E-04  3.043E+00  9.566E-01  5.086E+01
  730  9.387E-01  3.844E-04  3.049E+00  9.515E-01  5.083E+01
  731  9.395E-01  7.966E-04  3.059E+00  9.408E-01  5.077E+01
  732  9.403E-01  7.966E-04  3.070E+00  9.299E-01  5.071E+01
  733  9.411E-01  7.966E-04  3.081E+00  9.190E-01  5.065E+01
  734  9.419E-01  7.966E-04  3.092E+00  9.080E-01  5.059E+01
  735  9.431E-01  1.190E-03  3.109E+00  8.913E-01  5.050E+01
  736  9.443E-01  1.190E-03  3.126E+00  8.743E-01  5.041E+01
  737  9.455E-01  1.190E-03  3.143E+00  8.571E-01  5.031E+01
  738  9.467E-01  1.190E-03  3.160E+00  8.396E-01  5.022E+01
  739  9.483E-01  1.639E-03  3.185E+00  8.151E-01  5.009E+01
  740  9.493E-01  9.889E-04  3.200E+00  8.000E-01  5.000E+01

   is    psifac      dpsi        q       singfac     eval1

