 i psi fs1(2) fs(4) fs1(4) -fs1(1)
  99 0.878608E+00 -.536958E-01 0.299637E+01 0.201031E+01 0.213364E-17
 100 0.886508E+00 -.536958E-01 0.301234E+01 0.203264E+01 -.773918E-17
 101 0.894175E+00 -.536958E-01 0.302801E+01 0.205471E+01 0.284299E-16
 102 0.901605E+00 -.536958E-01 0.304336E+01 0.207642E+01 -.104459E-15
 103 0.908792E+00 -.536958E-01 0.305836E+01 0.209776E+01 0.383531E-15
 104 0.915734E+00 -.536958E-01 0.307300E+01 0.211869E+01 -.140697E-14
 105 0.922425E+00 -.536958E-01 0.308724E+01 0.213914E+01 0.515667E-14
 106 0.928862E+00 -.536958E-01 0.310107E+01 0.215912E+01 -.188811E-13
 107 0.935041E+00 -.536958E-01 0.311447E+01 0.217855E+01 0.690592E-13
 108 0.940957E+00 -.536958E-01 0.312742E+01 0.219744E+01 -.252299E-12
 109 0.946608E+00 -.536958E-01 0.313989E+01 0.221568E+01 -.224632E-13
 110 0.951990E+00 -.536958E-01 0.315186E+01 0.223325E+01 0.420029E-12
 111 0.957100E+00 -.536958E-01 0.316331E+01 0.225015E+01 0.366740E-12
 112 0.961934E+00 -.536958E-01 0.317423E+01 0.226631E+01 0.264241E-12
 113 0.966490E+00 -.536958E-01 0.318459E+01 0.228173E+01 -.918114E-12
 114 0.970765E+00 -.536958E-01 0.319438E+01 0.229631E+01 -.977043E-12
 115 0.974757E+00 -.536958E-01 0.320357E+01 0.231006E+01 -.286094E-11
 116 0.978463E+00 -.536958E-01 0.321215E+01 0.232295E+01 0.318933E-11
 117 0.981880E+00 -.536958E-01 0.322011E+01 0.233490E+01 -.103663E-10
 118 0.985007E+00 -.536958E-01 0.322743E+01 0.234597E+01 0.522818E-10
 119 0.987842E+00 -.536958E-01 0.323410E+01 0.235598E+01 -.159411E-09
 120 0.990384E+00 -.536958E-01 0.324010E+01 0.236503E+01 0.596399E-09
 121 0.992630E+00 -.536958E-01 0.324542E+01 0.237320E+01 -.207331E-08
 122 0.994579E+00 -.536958E-01 0.325005E+01 0.238034E+01 0.724291E-08
 123 0.996230E+00 -.536958E-01 0.325399E+01 0.238611E+01 -.250088E-07
 124 0.997583E+00 -.536958E-01 0.325722E+01 0.239106E+01 0.850185E-07
 125 0.998635E+00 -.536958E-01 0.325974E+01 0.239492E+01 -.282981E-06
 126 0.999388E+00 -.536958E-01 0.326154E+01 0.239767E+01 0.909630E-06
 127 0.999839E+00 -.536958E-01 0.326262E+01 0.239938E+01 -.274148E-05
 128 0.999990E+00 -.536958E-01 0.326298E+01 0.239991E+01 0.700765E-05
